Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,
Slovak Republic,SVK,GDP per capita (current US$),16309.073235592,16505.9980625369,17510.0889889901,19443.5624621918,,
Slovenia,SVN,GDP per capita (current US$),20881.7667686947,21622.580683576,23442.704281871,26041.8189678271,,
Sweden,SWE,GDP per capita (current US$),51397.1917561446,51974.196555344,53744.4290321437,54651.085366515,,
Eswatini,SWZ,GDP per capita (current US$),3689.51870428109,3447.6956981236,3953.08896990829,4145.97411168691,,
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),,,,,,
Seychelles,SYC,GDP per capita (current US$),14745.3414620288,15077.8390242853,15683.6564988559,16433.9352865158,,
Syrian Arab Republic,SYR,GDP per capita (current US$),,,,,,
Turks and Caicos Islands,TCA,GDP per capita (current US$),24832.5963703066,25995.1724609535,25933.6074363465,27142.2277976902,,
Chad,TCD,GDP per capita (current US$),775.707523514754,692.978595813865,664.303315726258,728.343235359289,,
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),6558.02110913586,6625.86790575369,7158.25957902455,7904.54275618718,,
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),7996.10857636972,7662.74789377375,8545.22402910434,8840.15898098505,,
Togo,TGO,GDP per capita (current US$),570.910279013434,597.471088804109,626.09152789111,678.95563806112,,
Thailand,THA,GDP per capita (current US$),5840.04694787593,5978.61145407809,6578.18886493522,7273.56320732092,,
Tajikistan,TJK,GDP per capita (current US$),929.095857223746,802.518004052824,806.041573098044,826.621530538704,,
Turkmenistan,TKM,GDP per capita (current US$),6432.68070195019,6389.54840833488,6587.09031628698,6966.63541063077,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),8720.69845908035,8410.81833433834,9277.3840560921,8916.73067860781,,
Timor-Leste,TLS,GDP per capita (current US$),1334.6619555193,1358.20169150129,1294.71553448905,1237.10268208254,,
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),3974.81039088449,3949.75304068937,3831.27133748199,,,
Tonga,TON,GDP per capita (current US$),4320.63799011384,3966.15652021899,4217.47650679527,4364.01556134949,,
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),1541.80368396863,1648.62449052113,1866.9376986432,1902.8026286069,,
